Country,Year,City,Gold,Silver,Bronze,Weighted Count, Population ,"Total medals per 100,000 pop","Weighted count per 100,000 pop","Gold per 100,000 pop",GDP per capita,GDP
Greece,1896,Athens,10,17,19,83,4764000,0.9655751,1.7422334,0.2099076,1924.48,9168237325
Denmark,1896,Athens,1,2,3,10,2428000,0.247117,0.4118616,0.0411862,3420.8,8305691579
Switzerland,1896,Athens,1,2,0,7,3151000,0.0952079,0.2221517,0.031736,5410.17,17047442790
Austria,1896,Athens,2,1,2,10,5739000,0.0871232,0.1742464,0.0348493,4053.25,23261610078
Australia,1896,Athens,2,0,0,6,3523000,0.0567698,0.1703094,0.0567698,4987.33,17570353504
United States,1896,Athens,11,7,2,49,71161000,0.0281053,0.0688579,0.0154579,5410.17,384993042320
France,1896,Athens,5,4,2,25,40192000,0.0273686,0.0622014,0.0124403,3791.6,152391859496
Germany,1896,Athens,6,5,2,30,51111000,0.0254348,0.0586958,0.0117392,4299.15,219733880241
Britain,1896,Athens,2,3,2,14,36367212,0.0192481,0.0384962,0.0054995,5979.45,217455797393
Switzerland,1900,Paris,6,2,1,23,3341000,0.2693804,0.6884166,0.179587,5864.6,19593626082
France,1900,Paris,26,41,34,194,40640000,0.2485236,0.4773622,0.0639764,4120.2,167444795110
Belgium,1900,Paris,5,5,5,30,6801000,0.2205558,0.4411116,0.0735186,4456.85,30311060537
Denmark,1900,Paris,1,3,2,11,2594000,0.231303,0.4240555,0.0385505,3658.24,9489467268
Norway,1900,Paris,0,2,3,7,2255000,0.2217295,0.3104213,0.0,2668.08,6016525961
Australia,1900,Paris,2,0,3,9,3795000,0.1317523,0.2371542,0.0527009,5431.85,20613862653
Britain,1900,Paris,15,6,9,66,38373808,0.0781783,0.1719923,0.0390892,6321.8,242591461407
Austria,1900,Paris,0,3,3,9,6035000,0.09942,0.1491301,0.0,4362.27,26326313983
United States,1900,Paris,19,14,14,99,77888000,0.0603431,0.1271056,0.024394,6624.3,515953845173
Netherlands,1900,Paris,0,1,3,5,5221000,0.0766137,0.0957671,0.0,3713.31,19387183357
Canada,1900,Paris,1,0,1,4,5536000,0.0361272,0.0722543,0.0180636,4224.78,23388369515
Germany,1900,Paris,4,2,2,18,55214000,0.0144891,0.0326004,0.0072445,4683.8,258611144941
Italy,1900,Paris,2,2,0,10,33877000,0.0118074,0.0295186,0.0059037,2127.22,72063670596
Sweden,1900,Paris,0,0,1,1,5136472,0.0194686,0.0194686,0.0,2897.43,14882576782
Spain,1900,Paris,1,0,0,3,18659000,0.0053593,0.016078,0.0053593,2676.85,49947362066
Mexico,1900,Paris,0,0,1,1,13755000,0.0072701,0.0072701,0.0,1709.31,23511589961
United States,1904,St. Louis,78,82,79,477,82485000,0.2897497,0.578287,0.0945626,7494.66,618197131905
Canada,1904,St. Louis,4,1,1,15,5994000,0.1001001,0.2502503,0.0667334,4759.25,28526915599
Switzerland,1904,St. Louis,1,0,1,4,3472000,0.0576037,0.1152074,0.0288018,5827.02,20231406929
Greece,1904,St. Louis,1,0,1,4,5102000,0.0392003,0.0784006,0.0196002,2138.08,10908469058
Germany,1904,St. Louis,4,4,5,25,57806000,0.022489,0.0432481,0.0069197,4838.51,279695159426
Austria,1904,St. Louis,0,0,1,1,6228000,0.0160565,0.0160565,0.0,4513.37,28109286285
Britain,1904,St. Louis,1,1,0,5,39474558,0.0050666,0.0126664,0.0025333,6231.91,246001762606
Sweden,1908,London,8,6,11,47,5402275,0.462768,0.8700038,0.1480858,3423.38,18494056947
Britain,1908,London,56,51,38,308,41003923,0.3536247,0.7511476,0.1365723,6261.81,256758807117
Norway,1908,London,2,3,3,15,2346000,0.341006,0.6393862,0.0852515,3014.14,7071164120
Canada,1908,London,3,3,10,25,6813000,0.2348451,0.3669455,0.0440335,5183.71,35316625529
Finland,1908,London,1,1,3,8,2861000,0.1747641,0.2796225,0.0349528,2513.65,7191561654
Denmark,1908,London,0,2,3,7,2809000,0.1779993,0.249199,0.0,4353.49,12228942024
Australasia,1908,London,1,2,2,9,4197000,0.1191327,0.2144389,0.0238265,6351.85,26658700738
Belgium,1908,London,1,5,2,15,7411000,0.1079476,0.2024018,0.0134935,4700.77,34837408370
United States,1908,London,23,12,12,105,89055000,0.0527764,0.1179047,0.0258267,7339.85,653650518741
Greece,1908,London,0,3,0,6,5246000,0.0571864,0.1143729,0.0,2248.67,11796544812
France,1908,London,5,5,9,34,41046000,0.0462895,0.0828339,0.0121815,4497.65,184610681794
Germany,1908,London,3,5,6,25,61187000,0.0228807,0.0408584,0.004903,5106.79,312469026309
Netherlands,1908,London,0,0,2,2,5786000,0.0345662,0.0345662,0.0,3838.51,22209613391
Italy,1908,London,2,2,0,10,35899000,0.0111424,0.0278559,0.0055712,2592.68,93074601808
Austria,1908,London,0,0,1,1,6485000,0.0154202,0.0154202,0.0,5113.09,33158415407
Sweden,1912,Stockholm,24,24,17,137,5573033,1.1663308,2.4582664,0.4306452,3838.09,21389806836
Finland,1912,Stockholm,9,8,9,52,2998000,0.8672448,1.7344897,0.3002001,2779.55,8333079377
Norway,1912,Stockholm,4,1,4,18,2423000,0.3714404,0.7428807,0.1650846,3410.16,8262826401
Denmark,1912,Stockholm,1,6,5,20,2951000,0.4066418,0.6777364,0.0338868,4697.1,13861156476
Australasia,1912,Stockholm,2,2,3,13,4661000,0.1501824,0.2789101,0.0429092,6900.48,32163139784
Canada,1912,Stockholm,3,2,3,16,7602000,0.1052355,0.2104709,0.0394633,6352.01,48288011663
Hungary,1912,Stockholm,3,2,3,16,7840000,0.1020408,0.2040816,0.0382653,3998.03,31344583926
Britain,1912,Stockholm,10,15,16,76,42318019,0.0968854,0.1795925,0.0236306,6701.7,283602792665
Belgium,1912,Stockholm,2,1,3,11,7590000,0.0790514,0.1449275,0.0263505,5029.69,38175373823
United States,1912,Stockholm,25,19,19,132,95703000,0.0658287,0.1379267,0.0261225,8317.33,795993295469
Austria,1912,Stockholm,0,2,2,6,6724000,0.0594884,0.0892326,0.0,5422.19,36458820218
France,1912,Stockholm,7,4,3,32,41359000,0.0338499,0.0773713,0.016925,5269.95,217959841813
Germany,1912,Stockholm,5,13,7,48,64457000,0.0387855,0.0744683,0.0077571,5529.51,356415802358
Greece,1912,Stockholm,1,0,1,4,5390000,0.0371058,0.0742115,0.0185529,2364.99,12747308210
Netherlands,1912,Stockholm,0,0,3,3,6068000,0.0494397,0.0494397,0.0,4263.1,25868502509
Italy,1912,Stockholm,3,1,2,13,37150000,0.0161507,0.0349933,0.0080754,2762.33,102620734668
Norway,1920,Antwerp,13,9,9,66,2635000,1.1764706,2.5047438,0.4933586,4045.31,10659381682
Finland,1920,Antwerp,15,10,9,74,3133000,1.0852218,2.3619534,0.4787743,2536.46,7946719532
Sweden,1920,Antwerp,19,18,24,117,5851973,1.0423835,1.9993257,0.3246768,4216.61,24675464919
Belgium,1920,Antwerp,14,11,11,75,7552000,0.4766949,0.9931144,0.1853814,4906.66,37055117493
Denmark,1920,Antwerp,3,9,1,28,3242000,0.400987,0.8636644,0.0925355,4970.96,16115853113
Switzerland,1920,Antwerp,2,2,7,17,3877000,0.2837245,0.4384834,0.0515863,6600.64,25590671337
Netherlands,1920,Antwerp,4,2,5,21,6848000,0.1606308,0.3066589,0.0584112,4230.58,28971014824
Canada,1920,Antwerp,3,3,3,18,8798000,0.102296,0.204592,0.0340987,5603.71,49301401204
Britain,1920,Antwerp,15,15,13,88,43718000,0.0983577,0.2012901,0.0343108,6400.75,279828098458
France,1920,Antwerp,9,19,13,78,39000000,0.1051282,0.2,0.0230769,4363.66,170182741790
United States,1920,Antwerp,41,27,27,204,106881000,0.0888839,0.1908665,0.0383604,8568.17,915774757688
Italy,1920,Antwerp,13,5,5,54,37398000,0.0615006,0.1443927,0.0347612,3229.38,120772220199
Australia,1920,Antwerp,0,2,1,5,5358000,0.055991,0.0933184,0.0,6449.93,34558727960
New Zealand,1920,Antwerp,0,0,1,1,1241000,0.0805802,0.0805802,0.0,7638.54,9479424736
Greece,1920,Antwerp,0,1,0,2,5700000,0.0175439,0.0350877,0.0,2848.4,16235900853
Brazil,1920,Antwerp,1,1,1,6,27404000,0.0109473,0.0218946,0.0036491,875.52,23992727355
Spain,1920,Antwerp,0,2,0,4,21232000,0.0094197,0.0188395,0.0,3262.65,69272673032
Japan,1920,Antwerp,0,2,0,4,55818000,0.0035831,0.0071661,0.0,2402.74,134115973063
Finland,1924,Paris,14,13,10,78,3272000,1.1308068,2.3838631,0.4278729,3056.68,10001451433
Switzerland,1924,Paris,7,8,10,47,3896000,0.6416838,1.2063655,0.1796715,7709.48,30036139150
Sweden,1924,Paris,4,13,12,50,6017675,0.4819137,0.8308857,0.0664709,4628.13,27850564129
Norway,1924,Paris,5,2,3,22,2729000,0.3664346,0.8061561,0.1832173,4040.61,11026834973
Denmark,1924,Paris,2,5,2,18,3389000,0.2655651,0.5311301,0.0590145,5668.6,19210875966
